,id,longitude,latitude,time,smp
47,NASA_USDA_SMAP_SM20160821_20160823,-118.46532809326189,36.71863723838544,1471737600000.0,0.2619292140007019
48,NASA_USDA_SMAP_SM20160824_20160826,-118.46532809326189,36.71863723838544,1471996800000.0,0.4502642750740051
49,NASA_USDA_SMAP_SM20160827_20160829,-118.46532809326189,36.71863723838544,1472256000000.0,0.3259671926498413
50,NASA_USDA_SMAP_SM20160830_20160901,-118.46532809326189,36.71863723838544,1472515200000.0,0.3454833924770355
1,NASA_USDA_SMAP_SM20160902_20160904,-118.46532809326189,36.26947959632568,1472774400000.0,0.2942964732646942
2,NASA_USDA_SMAP_SM20160905_20160907,-118.46532809326189,36.26947959632568,1473033600000.0,0.29257991909980774
3,NASA_USDA_SMAP_SM20160908_20160910,-118.46532809326189,36.26947959632568,1473292800000.0,0.2891520857810974
4,NASA_USDA_SMAP_SM20160911_20160913,-118.46532809326189,36.26947959632568,1473552000000.0,0.2872255742549896
5,NASA_USDA_SMAP_SM20160914_20160916,-118.46532809326189,36.26947959632568,1473811200000.0,0.2875799238681793
6,NASA_USDA_SMAP_SM20160917_20160919,-118.46532809326189,36.26947959632568,1474070400000.0,0.28764307498931885
7,NASA_USDA_SMAP_SM20160920_20160922,-118.46532809326189,36.26947959632568,1474329600000.0,0.28662410378456116
8,NASA_USDA_SMAP_SM20160923_20160925,-118.46532809326189,36.26947959632568,1474588800000.0,0.28624072670936584
9,NASA_USDA_SMAP_SM20160926_20160928,-118.46532809326189,36.26947959632568,1474848000000.0,0.2899112105369568
10,NASA_USDA_SMAP_SM20160929_20161001,-118.46532809326189,36.26947959632568,1475107200000.0,0.28970152139663696
11,NASA_USDA_SMAP_SM20160902_20160904,-118.68990691429177,36.49405841735556,1472774400000.0,0.3308364748954773
12,NASA_USDA_SMAP_SM20160905_20160907,-118.68990691429177,36.49405841735556,1473033600000.0,0.3053990602493286
13,NASA_USDA_SMAP_SM20160908_20160910,-118.68990691429177,36.49405841735556,1473292800000.0,0.28590095043182373
14,NASA_USDA_SMAP_SM20160911_20160913,-118.68990691429177,36.49405841735556,1473552000000.0,0.28630080819129944
15,NASA_USDA_SMAP_SM20160914_20160916,-118.68990691429177,36.49405841735556,1473811200000.0,0.2913011908531189
16,NASA_USDA_SMAP_SM20160917_20160919,-118.68990691429177,36.49405841735556,1474070400000.0,0.2912474274635315
17,NASA_USDA_SMAP_SM20160920_20160922,-118.68990691429177,36.49405841735556,1474329600000.0,0.33398371934890747
18,NASA_USDA_SMAP_SM20160923_20160925,-118.68990691429177,36.49405841735556,1474588800000.0,0.3464592397212982
19,NASA_USDA_SMAP_SM20160926_20160928,-118.68990691429177,36.49405841735556,1474848000000.0,0.3090190291404724
20,NASA_USDA_SMAP_SM20160929_20161001,-118.68990691429177,36.49405841735556,1475107200000.0,0.302457332611084
21,NASA_USDA_SMAP_SM20160902_20160904,-118.46532809326189,36.49405841735556,1472774400000.0,0.2942964732646942
